"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Adam","Team BDS","Top",9,"89%","56%",25,17,58,4.9,"62.4%","18.8%","19.1%","56%",269,48,3.7,7.7,"20.6%",451,"20.0%","17.2%",267,"20.1%",0,0.41,0.24,0.25
"Alvaro","MAD Lions KOI","Support",11,"36%","36%",4,44,94,2.2,"73.7%","3.0%","28.0%","55%",162,121,4.5,1.5,"3.1%",178,"8.2%","7.4%",112,"9.7%",0,1.87,0.55,0.47
"BrokenBlade","G2 Esports","Top",9,"78%","67%",28,19,50,4.1,"54.5%","19.6%","16.0%","11%",-225,-60,-8.7,8.2,"23.6%",617,"21.7%","19.5%",279,"21.0%",0,0.58,0.23,0.2
"Canna","Karmine Corp","Top",9,"44%","56%",14,19,40,2.8,"59.3%","15.4%","20.9%","22%",289,100,3,8,"23.0%",416,"19.8%","15.1%",247,"22.3%",0,0.51,0.27,0.27
"Caps","G2 Esports","Middle",9,"78%","56%",37,22,42,3.6,"55.2%","25.9%","18.5%","11%",187,55,6,9.7,"28.4%",669,"23.8%","23.9%",328,"25.2%",0,0.26,0.12,0.28
"Carzzy","Team Vitality","ADC",10,"20%","60%",34,28,38,2.6,"71.3%","33.7%","17.6%","20%",39,-10,-3.4,7.7,"25.0%",728,"32.2%","34.9%",273,"23.6%",1,0.7,0.19,0.4
"Closer","Karmine Corp","Jungle",9,"44%","67%",13,22,55,3.1,"74.7%","14.3%","24.2%","33%",35,28,-1.2,5,"12.4%",264,"12.6%","12.3%",168,"15.2%",0,0.3,0.24,0.44
"Comp","Rogue","ADC",10,"20%","40%",20,21,48,3.2,"69.4%","20.4%","15.2%","10%",-591,-135,-15.9,9.2,"29.6%",579,"26.0%","28.5%",279,"25.3%",0,0.39,0.09,0.3
"Elyoya","MAD Lions KOI","Jungle",11,"36%","55%",32,26,70,3.9,"76.7%","24.1%","16.6%","18%",-51,104,3.8,6.2,"17.5%",402,"17.7%","18.9%",217,"18.7%",0,0.49,0.34,0.47
"Finn","Rogue","Top",10,"20%","50%",19,32,40,1.8,"60.2%","19.4%","23.2%","20%",-28,15,-1.4,7.6,"22.4%",485,"23.0%","18.9%",235,"21.3%",0,0.39,0.19,0.11
"Flakked","Team Heretics","ADC",9,"33%","33%",49,20,33,4.1,"72.6%","43.4%","15.9%","33%",-13,-288,-4.6,9.7,"32.3%",695,"29.8%","31.5%",321,"28.3%",0,0.63,0.18,0.49
"Fresskowy","MAD Lions KOI","Middle",11,"36%","45%",23,23,46,3,"51.9%","17.3%","14.6%","9%",-152,-81,-4.1,9.3,"28.5%",486,"21.5%","20.6%",275,"24.3%",0,0.52,0.26,0.23
