"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Team BDS","Jungle",6,"33%","67%",16,20,38,2.7,"74.0%","21.9%","23.3%","50%",43,-67,-0.7,5.2,"13.3%",462,"17.7%","19.2%",186,"17.4%",1,0.24,0.22,0.32
"Adam","Rogue","Top",6,"17%","83%",17,22,24,1.9,"60.3%","25.0%","20.4%","0%",-84,81,-1.2,8,"27.4%",403,"20.2%","20.3%",271,"25.2%",0,0.36,0.1,0.25
"Alvaro","Movistar KOI","Support",6,"83%","67%",6,10,72,7.8,"83.9%","6.5%","17.2%","67%",187,75,-3.7,1,"2.8%",199,"7.2%","6.2%",145,"11.5%",0,1.91,0.5,0.54
"BrokenBlade","G2 Esports","Top",6,"50%","50%",16,13,25,3.2,"47.7%","18.6%","17.8%","0%",178,457,4.7,7.3,"22.0%",464,"18.9%","17.8%",241,"20.7%",0,0.39,0.15,0.19
"Caliste","Karmine Corp","ADC",6,"83%","100%",26,5,45,14.2,"64.0%","23.4%","8.9%","33%",115,270,1.8,9.6,"30.2%",916,"28.8%","30.2%",344,"26.4%",0,0.49,0.13,0.24
"Canna","Karmine Corp","Top",6,"83%","50%",30,8,35,8.1,"58.6%","27.0%","14.3%","0%",36,-363,-4.2,8.1,"24.6%",711,"22.0%","21.9%",281,"21.1%",0,0.54,0.18,0.15
"Caps","G2 Esports","Middle",6,"50%","50%",30,11,19,4.5,"57.0%","34.9%","15.1%","17%",-25,-14,-2.7,9.1,"27.2%",728,"28.7%","30.7%",317,"26.0%",0,0.27,0.12,0.23
"Carlsen","Team Heretics","Top",6,"33%","33%",13,15,21,2.3,"57.6%","22.0%","16.5%","33%",71,-44,-2,7.8,"24.3%",380,"16.2%","14.6%",239,"22.4%",0,0.35,0.14,0.09
"Carzzy","Team Vitality","ADC",6,"50%","67%",29,14,28,4.1,"68.7%","34.9%","15.6%","50%",-183,-80,0,8.8,"28.4%",801,"29.6%","30.3%",301,"25.4%",1,0.47,0.15,0.32
"Closer","GiantX","Jungle",6,"67%","67%",12,16,55,4.2,"72.0%","12.9%","22.9%","50%",-126,-315,-4.2,5,"12.6%",327,"12.0%","12.5%",193,"15.7%",0,0.32,0.29,0.48
"Czajek","Team Vitality","Middle",6,"50%","50%",19,11,35,4.9,"65.1%","22.9%","12.2%","17%",-203,-69,-7.3,9.4,"29.5%",726,"26.7%","26.9%",302,"25.6%",0,0.44,0.24,0.23
"Elyoya","Movistar KOI","Jungle",6,"83%","33%",15,12,52,5.6,"72.0%","16.1%","20.7%","17%",18,122,3,6.4,"18.3%",449,"16.4%","16.6%",225,"17.9%",0,0.44,0.41,0.36
"Execute","Rogue","Support",6,"17%","33%",2,27,51,2,"77.9%","2.9%","25.0%","33%",66,-46,-3.3,0.9,"2.5%",156,"8.2%","7.3%",110,"10.1%",0,2.21,0.61,0.44
"Flakked","Team Heretics","ADC",6,"33%","50%",18,15,23,2.7,"69.5%","30.5%","16.5%","0%",-85,-108,-5.3,9.3,"31.4%",764,"31.6%","35.1%",282,"26.6%",0,0.55,0.2,0.44
"Hans Sama","G2 Esports","ADC",6,"50%","50%",22,13,28,3.8,"58.1%","25.6%","17.8%","17%",290,-23,0.8,8.8,"27.9%",652,"26.6%","26.5%",290,"24.6%",0,0.34,0.08,0.35
"Humanoid","Fnatic","Middle",6,"83%","33%",25,8,28,6.6,"57.0%","26.9%","12.7%","0%",185,88,2.5,9.9,"28.8%",842,"28.9%","29.8%",327,"25.7%",0,0.41,0.09,0.19
"Hylissang","Team Vitality","Support",6,"50%","50%",9,31,62,2.3,"85.5%","10.8%","34.4%","50%",50,247,2.3,1,"2.1%",190,"7.2%","6.4%",129,"10.9%",0,1.67,0.42,0.42
"Ice","Team BDS","ADC",6,"33%","50%",19,12,34,4.4,"72.6%","26.0%","14.0%","17%",-176,167,0.2,10,"35.9%",784,"29.4%","31.4%",304,"28.2%",0,0.42,0.12,0.46
"Irrelevant","Team BDS","Top",6,"33%","17%",11,16,27,2.4,"52.1%","15.1%","18.6%","17%",78,63,0.2,7.1,"21.7%",395,"15.5%","13.3%",213,"20.2%",0,0.49,0.24,0.23
"ISMA","SK Gaming","Jungle",6,"0%","50%",12,15,17,1.9,"82.9%","34.3%","14.7%","33%",179,-105,0,6.1,"17.7%",342,"17.0%","17.8%",188,"19.4%",0,0.33,0.24,0.36
"Jackies","GiantX","Middle",6,"67%","83%",25,12,33,4.8,"62.4%","26.9%","17.1%","17%",155,103,1,9.5,"30.7%",807,"28.4%","29.6%",317,"26.2%",0,0.37,0.17,0.29
"JNX","SK Gaming","Top",6,"0%","33%",6,20,6,0.6,"34.3%","17.1%","19.6%","0%",-258,-246,-1.8,8,"25.9%",462,"22.3%","26.2%",232,"23.0%",0,0.4,0.08,0.14
"Jojopyun","Movistar KOI","Middle",6,"83%","67%",21,18,37,3.2,"62.4%","22.6%","31.0%","17%",-26,43,4.8,8.4,"25.2%",682,"24.7%","24.5%",284,"22.3%",0,0.59,0.33,0.25
"Jun","GiantX","Support",6,"67%","17%",8,16,69,4.8,"82.8%","8.6%","22.9%","50%",-111,91,4.5,1,"2.4%",198,"7.0%","6.4%",134,"10.9%",0,1.89,0.49,0.47
"Kamiloo","Team Heretics","Middle",6,"33%","33%",19,24,17,1.5,"61.0%","32.2%","26.4%","17%",-495,-103,-8.5,8.1,"24.5%",738,"31.1%","29.8%",245,"22.8%",0,0.53,0.25,0.25
"Labrov","G2 Esports","Support",6,"50%","50%",5,22,56,2.8,"70.9%","5.8%","30.1%","17%",67,52,-1.5,0.8,"2.1%",157,"6.6%","5.5%",113,"9.5%",0,1.61,0.44,0.36
"Larssen","Rogue","Middle",6,"17%","67%",12,17,35,2.8,"69.1%","17.6%","15.7%","17%",237,184,6.5,8.3,"26.6%",554,"28.1%","30.4%",247,"23.0%",0,0.35,0.13,0.16
"Loopy","SK Gaming","Support",6,"0%","67%",1,28,26,1,"77.1%","2.9%","27.5%","33%",-1,21,0,1,"2.0%",172,"8.3%","6.5%",98,"9.9%",0,1.54,0.48,0.42
"Lot","GiantX","Top",6,"67%","33%",20,12,35,4.6,"59.1%","21.5%","17.1%","0%",4,18,3.2,7.8,"23.5%",579,"19.5%","16.3%",263,"21.1%",0,0.3,0.12,0.19
"Lyncas","Team Vitality","Jungle",6,"50%","50%",12,15,51,4.2,"75.9%","14.5%","16.7%","33%",-286,-275,-8.3,5.1,"13.3%",357,"12.7%","13.0%",191,"16.4%",0,0.37,0.29,0.31
"Malrang","Rogue","Jungle",6,"17%","33%",14,18,45,3.3,"86.8%","20.6%","16.7%","50%",-70,-295,-8.5,5.2,"14.9%",320,"16.4%","16.3%",181,"16.8%",1,0.27,0.25,0.36
"Mikyx","Fnatic","Support",6,"83%","33%",4,21,68,3.4,"77.4%","4.3%","33.3%","17%",-127,90,1,1,"2.1%",239,"8.1%","7.3%",128,"10.1%",0,1.93,0.47,0.46
"Myrwn","Movistar KOI","Top",6,"83%","33%",16,9,31,5.2,"50.5%","17.2%","15.5%","0%",101,184,3,7.8,"23.1%",660,"21.7%","21.1%",265,"20.9%",0,0.24,0.14,0.19
"Naak Nako","Team Vitality","Top",6,"50%","83%",14,19,22,1.9,"43.4%","16.9%","21.1%","0%",-152,-108,-0.5,8,"26.7%",653,"23.8%","23.5%",252,"21.7%",0,0.38,0.15,0.13
"Noah","GiantX","ADC",6,"67%","67%",28,14,37,4.6,"69.9%","30.1%","20.0%","33%",-324,16,0.2,9.8,"30.9%",946,"33.0%","35.2%",333,"26.1%",0,0.39,0.11,0.23
"nuc","Team BDS","Middle",6,"33%","50%",19,14,39,4.1,"79.5%","26.0%","16.3%","17%",10,-121,2,8.4,"26.8%",812,"31.4%","30.8%",262,"24.4%",0,0.36,0.17,0.19
"Oscarinin","Fnatic","Top",6,"83%","83%",15,15,33,3.2,"51.6%","16.1%","23.8%","17%",26,-41,-1.3,8.1,"26.1%",640,"22.0%","18.9%",272,"21.5%",0,0.29,0.07,0.14
"Parus","Team BDS","Support",6,"33%","50%",8,24,54,2.6,"84.9%","11.0%","27.9%","33%",-87,-93,1.3,0.9,"2.3%",160,"6.1%","5.3%",107,"9.9%",0,1.79,0.51,0.47
"Patrik","Rogue","ADC",6,"17%","17%",23,24,31,2.3,"79.4%","33.8%","22.2%","33%",-130,-356,-3.7,8.4,"28.6%",540,"27.1%","25.8%",272,"24.9%",0,0.41,0.13,0.28
"Rahel","SK Gaming","ADC",6,"0%","33%",13,18,11,1.3,"68.6%","37.1%","17.6%","17%",238,162,4.2,9.2,"30.0%",601,"28.6%","24.9%",269,"26.8%",0,0.37,0.14,0.21
"Razork","Fnatic","Jungle",6,"83%","17%",13,13,61,5.7,"79.6%","14.0%","20.6%","33%",189,221,7.8,5.7,"14.1%",387,"13.1%","13.3%",212,"17.0%",1,0.19,0.17,0.38
"RKR","SK Gaming","Middle",6,"0%","67%",3,21,14,0.8,"48.6%","8.6%","20.6%","33%",-153,-111,-6,8.2,"24.4%",490,"23.9%","24.5%",208,"21.0%",0,0.41,0.2,0.15
"Sheo","Team Heretics","Jungle",6,"33%","67%",6,17,40,2.7,"78.0%","10.2%","18.7%","17%",45,64,-0.2,6.1,"17.1%",371,"15.0%","15.7%",199,"18.6%",1,0.27,0.21,0.25
"SkewMond","G2 Esports","Jungle",6,"50%","50%",13,14,46,4.2,"68.6%","15.1%","19.2%","0%",159,482,9,6.8,"20.8%",451,"19.1%","19.5%",225,"19.2%",0,0.29,0.23,0.3
"Stend","Team Heretics","Support",6,"33%","50%",3,20,41,2.2,"74.6%","5.1%","22.0%","17%",147,-49,-2,1,"2.6%",140,"6.0%","4.9%",104,"9.6%",0,1.83,0.49,0.54
"Supa","Movistar KOI","ADC",6,"83%","17%",35,9,39,8.2,"79.6%","37.6%","15.5%","67%",84,-251,-3.8,9.4,"30.6%",840,"29.9%","31.5%",344,"27.3%",0,0.25,0.12,0.59
"Targamas","Karmine Corp","Support",6,"83%","83%",2,17,82,4.9,"75.7%","1.8%","30.4%","33%",-190,-388,1.3,1.2,"2.8%",170,"5.4%","5.3%",129,"10.0%",0,1.75,0.51,0.64
"Upset","Fnatic","ADC",6,"83%","50%",36,6,31,11.2,"72.0%","38.7%","9.5%","17%",170,204,5.7,9.3,"28.9%",825,"27.9%","30.7%",324,"25.7%",0,0.45,0.1,0.23
"Vladi","Karmine Corp","Middle",6,"83%","0%",31,13,48,6.1,"71.2%","27.9%","23.2%","33%",315,-1,7.7,9.5,"26.6%",845,"27.4%","26.2%",330,"24.8%",1,0.53,0.18,0.26
"Yike","Karmine Corp","Jungle",6,"83%","67%",22,13,64,6.6,"77.5%","19.8%","23.2%","33%",-151,168,2,5.7,"15.8%",510,"16.3%","16.4%",232,"17.7%",2,0.29,0.23,0.32
