"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"1xn","ThunderTalk Gaming","ADC",15,"73%","27%",71,28,97,6,"69.4%","29.3%","15.6%",,,,,9.6,,765,"27.7%",,320,"24.7%",,0.36,0.12,0.4
"369","Top Esports","Top",17,"76%","53%",42,53,102,2.7,"57.1%","16.7%","24.7%",,,,,7.9,,533,"19.6%",,262,"20.0%",,0.38,0.14,0.15
"Able","Team WE","ADC",15,"33%","53%",39,43,66,2.4,"68.6%","25.5%","17.6%",,,,,10,,639,"26.9%",,296,"25.6%",,0.23,0.08,0.44
"Ahn","Invictus Gaming","ADC",16,"56%","50%",92,36,105,5.5,"76.1%","35.5%","16.1%",,,,,9.5,,780,"31.2%",,336,"26.9%",,0.44,0.15,0.35
"Aki","Ninjas in Pyjamas","Jungle",16,"13%","50%",26,55,94,2.2,"70.6%","15.3%","20.1%",,,,,6.1,,432,"16.1%",,196,"17.7%",,0.54,0.2,0.32
"Ale","Anyone's Legend","Top",19,"47%","53%",71,53,63,2.5,"53.2%","28.2%","20.0%",,,,,8.7,,513,"21.5%",,287,"23.6%",,0.44,0.17,0.21
"Angel","Oh My God","Middle",17,"71%","35%",86,27,115,7.4,"73.1%","31.3%","11.4%",,,,,9.3,,715,"27.7%",,331,"26.1%",,0.6,0.21,0.42
"Assum","Rare Atom","ADC",16,"63%","63%",80,34,113,5.7,"76.9%","31.9%","16.7%",,,,,9.4,,800,"30.6%",,325,"26.3%",,0.33,0.11,0.32
"Beichuan","ThunderTalk Gaming","Jungle",15,"73%","60%",42,36,144,5.2,"76.9%","17.4%","20.1%",,,,,7.6,,712,"25.4%",,269,"20.8%",,0.43,0.21,0.35
"Bin","Bilibili Gaming","Top",22,"68%","50%",74,53,112,3.5,"51.2%","20.4%","20.8%",,,,,8.7,,585,"21.3%",,292,"22.4%",,0.39,0.16,0.17
"Breathe","Weibo Gaming","Top",18,"67%","44%",49,49,90,2.8,"48.1%","17.0%","22.7%",,,,,8.5,,546,"20.5%",,277,"21.9%",,0.39,0.18,0.2
"Burdol","LGD Gaming","Top",19,"21%","63%",37,73,93,1.8,"53.9%","15.4%","21.0%",,,,,7.6,,502,"19.6%",,234,"20.2%",,0.37,0.24,0.24
"Care","FunPlus Phoenix","Middle",19,"37%","74%",70,63,100,2.7,"58.2%","24.0%","17.7%",,,,,9.2,,667,"25.1%",,315,"25.8%",,0.52,0.2,0.46
"Creme","Top Esports","Middle",17,"76%","41%",55,33,96,4.6,"59.9%","21.8%","15.3%",,,,,9.9,,768,"28.5%",,333,"25.5%",,0.42,0.12,0.35
"Crisp","Weibo Gaming","Support",18,"67%","56%",14,56,171,3.3,"64.0%","4.8%","25.9%",,,,,2.2,,181,"7.0%",,132,"10.5%",,1.62,0.53,0.37
"Croco","Anyone's Legend","Jungle",19,"47%","58%",47,56,128,3.1,"69.4%","18.7%","21.1%",,,,,6.6,,520,"20.7%",,225,"18.3%",,0.49,0.26,0.38
"Cryin","EDward Gaming","Middle",18,"44%","56%",58,41,76,3.3,"63.5%","27.5%","18.1%",,,,,9.4,,658,"27.0%",,303,"24.8%",,0.45,0.16,0.33
"deokdam","FunPlus Phoenix","ADC",19,"37%","42%",68,59,113,3.1,"62.0%","23.3%","16.6%",,,,,9,,658,"24.9%",,282,"23.1%",,0.34,0.06,0.34
"Doggo","Ultra Prime","ADC",16,"38%","31%",72,32,105,5.5,"79.0%","32.1%","15.2%",,,,,9.6,,707,"28.4%",,322,"26.4%",,0.48,0.24,0.49
"Elk","Bilibili Gaming","ADC",22,"68%","55%",101,42,154,6.1,"70.2%","27.8%","16.5%",,,,,8.6,,778,"28.3%",,313,"24.0%",,0.48,0.14,0.34
"Feather","ThunderTalk Gaming","Support",15,"73%","47%",8,49,189,4,"81.4%","3.3%","27.4%",,,,,1,,150,"5.5%",,120,"9.2%",,2.04,0.66,0.37
"FoFo","Team WE","Middle",15,"33%","47%",44,36,51,2.6,"62.1%","28.8%","14.8%",,,,,9.4,,652,"27.5%",,290,"25.3%",,0.47,0.14,0.39
"GALA","LNG Esports","ADC",21,"67%","48%",93,31,119,6.8,"71.6%","31.4%","14.3%",,,,,9.6,,776,"31.1%",,317,"25.4%",,0.35,0.11,0.35
"Geju","Royal Never Give Up","Jungle",12,"17%","17%",28,44,68,2.2,"68.6%","20.0%","22.1%",,,,,6.5,,485,"19.6%",,221,"18.9%",,0.48,0.2,0.42
"glfs","Invictus Gaming","Jungle",16,"56%","38%",54,36,154,5.8,"80.3%","20.8%","16.1%",,,,,6.5,,553,"22.2%",,236,"19.2%",,0.41,0.29,0.38
"H4cker","Ultra Prime","Jungle",16,"38%","31%",34,41,136,4.1,"75.9%","15.2%","19.4%",,,,,7.2,,562,"22.6%",,231,"18.8%",,0.51,0.27,0.47
"haichao","LGD Gaming","Middle",19,"21%","37%",64,41,85,3.6,"61.8%","26.6%","11.8%",,,,,9.7,,613,"23.6%",,302,"26.0%",,0.45,0.14,0.34
"Hang","LNG Esports","Support",21,"67%","71%",12,49,193,4.2,"69.3%","4.1%","22.6%",,,,,1.4,,161,"6.4%",,121,"9.8%",,2.25,0.54,0.55
"Hery","Oh My God","Top",17,"71%","59%",48,45,122,3.8,"61.8%","17.5%","19.0%",,,,,8,,535,"20.0%",,270,"21.1%",,0.38,0.16,0.19
"Hope","Anyone's Legend","ADC",19,"47%","53%",58,48,93,3.1,"59.9%","23.0%","18.1%",,,,,9.3,,620,"25.8%",,286,"23.6%",,0.45,0.16,0.35
"HOYA","ThunderTalk Gaming","Top",15,"73%","53%",34,37,96,3.5,"53.7%","14.0%","20.7%",,,,,7.6,,465,"17.7%",,245,"19.1%",,0.43,0.25,0.22
"huanfeng","Royal Never Give Up","ADC",17,"24%","47%",44,26,79,4.7,"68.0%","24.3%","9.5%",,,,,9.9,,705,"29.6%",,286,"24.7%",,0.43,0.14,0.33
"Iwandy","Royal Never Give Up","Jungle",1,"0%","100%",1,2,2,1.5,"60.0%","20.0%","15.4%",,,,,6.4,,490,"20.7%",,185,"17.1%",,0.92,0.28,0.33
"Iwandy","Royal Never Give Up","Support",11,"27%","73%",12,39,69,2.1,"74.3%","11.0%","23.5%",,,,,2.4,,222,"8.4%",,132,"10.1%",,2.01,0.45,0.41
"JackeyLove","Top Esports","ADC",17,"76%","41%",67,40,106,4.3,"68.7%","26.6%","18.6%",,,,,8.5,,738,"26.9%",,303,"23.0%",,0.49,0.14,0.45
"Jiejie","EDward Gaming","Jungle",18,"44%","39%",40,46,113,3.3,"72.5%","19.0%","20.4%",,,,,7.2,,620,"24.9%",,236,"19.5%",,0.4,0.23,0.51
"Jinjiao","LGD Gaming","Support",19,"21%","47%",12,111,141,1.4,"63.5%","5.0%","31.9%",,,,,0.9,,147,"5.9%",,103,"8.8%",,1.82,0.54,0.43
"Juice","Royal Never Give Up","Top",17,"24%","47%",48,65,61,1.7,"60.2%","26.5%","23.6%",,,,,7.8,,443,"18.6%",,254,"21.4%",,0.35,0.19,0.22
"Jwei","Rare Atom","Support",16,"63%","50%",13,58,157,2.9,"67.7%","5.2%","28.6%",,,,,1.2,,181,"7.0%",,115,"9.2%",,1.92,0.59,0.42
"Kael","Anyone's Legend","Support",19,"47%","37%",13,63,159,2.7,"68.3%","5.2%","23.8%",,,,,1,,177,"7.5%",,111,"9.0%",,2.33,0.61,0.47
"Kanavi","JD Gaming","Jungle",20,"50%","40%",70,48,135,4.3,"77.4%","26.4%","17.9%",,,,,7.6,,683,"26.4%",,264,"21.4%",,0.69,0.18,0.55
"Kepler","LGD Gaming","ADC",5,"20%","40%",18,24,40,2.4,"71.6%","22.2%","23.5%",,,,,8.1,,825,"25.1%",,258,"21.8%",,0.39,0.1,0.43
"knight","Bilibili Gaming","Middle",22,"68%","45%",118,36,118,6.6,"65.0%","32.5%","14.1%",,,,,9.3,,689,"24.6%",,326,"25.2%",,0.39,0.15,0.37
"Leave","EDward Gaming","ADC",18,"44%","72%",63,43,93,3.6,"73.9%","29.9%","19.0%",,,,,9.6,,691,"28.1%",,321,"26.0%",,0.42,0.12,0.46
"Leyan","Ninjas in Pyjamas","Jungle",3,"33%","33%",8,15,25,2.2,"67.3%","16.3%","25.0%",,,,,6.6,,536,"17.9%",,214,"18.1%",,0.41,0.11,0.22
"Life","FunPlus Phoenix","Support",19,"37%","37%",26,95,175,2.1,"68.8%","8.9%","26.7%",,,,,1,,205,"8.1%",,118,"9.8%",,2.08,0.44,0.4
"Light","Weibo Gaming","ADC",18,"67%","44%",92,25,103,7.8,"67.5%","31.8%","11.6%",,,,,8,,668,"25.2%",,310,"23.5%",,0.57,0.11,0.33
"Mark","Team WE","Support",15,"33%","40%",8,67,99,1.6,"69.9%","5.2%","27.5%",,,,,1.3,,160,"6.9%",,108,"9.3%",,2.04,0.48,0.55
"Meiko","Top Esports","Support",17,"76%","59%",21,57,170,3.4,"75.8%","8.3%","26.5%",,,,,2.1,,223,"8.3%",,149,"11.9%",,1.57,0.42,0.42
"Meteor","LGD Gaming","Jungle",19,"21%","58%",60,53,127,3.5,"77.6%","24.9%","15.2%",,,,,7.5,,688,"27.3%",,250,"21.5%",,0.39,0.19,0.44
"milkyway","FunPlus Phoenix","Jungle",19,"37%","63%",78,70,131,3,"71.6%","26.7%","19.7%",,,,,6.7,,620,"23.3%",,255,"20.8%",,0.32,0.22,0.43
"MISSING","JD Gaming","Support",20,"50%","60%",18,70,178,2.8,"74.0%","6.8%","26.1%",,,,,1.1,,157,"6.0%",,116,"9.4%",,2.26,0.61,0.45
"neny","Invictus Gaming","Middle",16,"56%","56%",65,46,87,3.3,"58.7%","25.1%","20.5%",,,,,9.2,,531,"21.2%",,303,"24.1%",,0.38,0.17,0.36
"Niket","Ultra Prime","Support",16,"38%","38%",11,62,158,2.7,"75.4%","4.9%","29.4%",,,,,1.1,,163,"6.4%",,110,"8.9%",,1.98,0.5,0.5
"ON","Bilibili Gaming","Support",22,"68%","41%",18,70,230,3.5,"68.3%","5.0%","27.5%",,,,,1.7,,200,"7.1%",,144,"10.9%",,1.98,0.52,0.51
"Photic","Ninjas in Pyjamas","ADC",19,"16%","53%",54,52,100,3,"70.3%","24.7%","15.6%",,,,,8.2,,773,"27.4%",,267,"24.4%",,0.57,0.12,0.38
"ppgod","Oh My God","Support",17,"71%","59%",6,59,196,3.4,"73.5%","2.2%","24.9%",,,,,1.2,,175,"6.7%",,120,"9.4%",,2.19,0.54,0.55
"Qingtian","Ultra Prime","Top",16,"38%","63%",38,48,85,2.6,"54.9%","17.0%","22.7%",,,,,7.5,,391,"15.4%",,235,"19.0%",,0.34,0.16,0.25
"Rookie","Ninjas in Pyjamas","Middle",19,"16%","53%",55,63,90,2.3,"66.2%","25.1%","18.9%",,,,,9.5,,737,"27.3%",,290,"26.3%",,0.46,0.18,0.33
"Ruler","JD Gaming","ADC",20,"50%","55%",66,40,93,4,"60.0%","24.9%","14.9%",,,,,10.2,,718,"27.4%",,312,"25.5%",,0.44,0.16,0.46
"Scout","LNG Esports","Middle",21,"67%","57%",78,45,111,4.2,"63.9%","26.4%","20.7%",,,,,9.7,,642,"25.8%",,326,"26.1%",,0.32,0.12,0.29
"shanji","Ninjas in Pyjamas","Top",19,"16%","58%",63,82,60,1.5,"56.2%","28.8%","24.6%",,,,,8,,605,"22.9%",,249,"22.0%",,0.31,0.16,0.18
