"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"1Jiang","Ultra Prime","Top",7,"14%","43%",19,23,29,2.1,"65.8%","26.0%","18.5%",,,,,6.7,,485,"23.0%",,219,"20.3%",,0.49,0.29,0.2
"1xn","ThunderTalk Gaming","ADC",8,"75%","63%",60,19,52,5.9,"83.0%","44.4%","18.4%",,,,,9.5,,872,"31.6%",,355,"28.2%",,0.37,0.11,0.38
"369","Top Esports","Top",7,"57%","57%",17,24,35,2.2,"50.0%","16.3%","20.5%",,,,,7.9,,538,"19.7%",,263,"21.5%",,0.35,0.14,0.17
"Aki","Ninjas in Pyjamas","Jungle",4,"75%","75%",12,11,41,4.8,"81.5%","18.5%","22.9%",,,,,7.2,,568,"23.4%",,253,"20.5%",,0.22,0.19,0.28
"Ale","JD Gaming","Top",8,"75%","63%",21,11,53,6.7,"57.8%","16.4%","13.9%",,,,,7.7,,666,"22.8%",,251,"19.9%",,0.41,0.14,0.13
"Angel","EDward Gaming","Middle",7,"14%","43%",12,20,47,3,"73.8%","15.0%","15.6%",,,,,8.2,,648,"27.7%",,248,"23.0%",,0.42,0.23,0.27
"Assum","EDward Gaming","ADC",7,"14%","43%",17,29,35,1.8,"65.0%","21.3%","22.7%",,,,,8.7,,604,"24.6%",,264,"24.3%",,0.4,0.17,0.32
"bat","FunPlus Phoenix","ADC",4,"25%","75%",11,12,23,2.8,"81.0%","26.2%","20.0%",,,,,9.2,,412,"21.4%",,277,"24.6%",,0.44,0.17,0.31
"Beichuan","ThunderTalk Gaming","Jungle",8,"75%","25%",22,21,83,5,"77.8%","16.3%","20.4%",,,,,7,,489,"17.8%",,258,"20.5%",,0.33,0.28,0.28
"Bin","Bilibili Gaming","Top",6,"100%","33%",16,9,35,5.7,"46.8%","14.7%","20.5%",,,,,8.3,,450,"16.8%",,285,"20.8%",,0.3,0.11,0.19
"Breathe","Weibo Gaming","Top",7,"86%","43%",28,14,35,4.5,"51.2%","22.8%","16.1%",,,,,8,,446,"17.2%",,285,"21.5%",,0.39,0.12,0.14
"Care","FunPlus Phoenix","Middle",4,"25%","25%",16,11,18,3.1,"81.0%","38.1%","18.3%",,,,,8.8,,643,"33.1%",,302,"26.5%",,0.37,0.23,0.42
"Climber","LGD Gaming","Jungle",6,"50%","83%",29,12,54,6.9,"76.1%","26.6%","12.2%",,,,,6.2,,460,"16.6%",,241,"20.0%",,0.45,0.31,0.38
"Creme","Top Esports","Middle",7,"57%","71%",27,18,47,4.1,"71.2%","26.0%","15.4%",,,,,8.4,,795,"28.8%",,270,"22.5%",,0.43,0.15,0.24
"Crisp","Top Esports","Support",7,"57%","57%",4,30,79,2.8,"79.8%","3.8%","25.6%",,,,,1,,178,"6.8%",,115,"9.5%",,1.87,0.64,0.36
"Cube","Team WE","Top",6,"0%","50%",7,18,26,1.8,"57.9%","12.3%","15.4%",,,,,8,,480,"22.2%",,216,"21.5%",,0.47,0.17,0.13
"Doinb","Ninjas in Pyjamas","Middle",4,"75%","50%",15,6,31,7.7,"70.8%","23.1%","12.5%",,,,,8.5,,508,"21.3%",,290,"24.0%",,0.47,0.22,0.23
"Elk","Bilibili Gaming","ADC",6,"100%","33%",29,8,40,8.6,"63.3%","26.6%","18.2%",,,,,9.6,,732,"27.2%",,351,"25.4%",,0.42,0.13,0.32
"Feather","ThunderTalk Gaming","Support",8,"75%","63%",5,22,104,5,"80.7%","3.7%","21.4%",,,,,1.2,,183,"6.6%",,131,"10.4%",,1.83,0.61,0.5
"Flandre","Anyone's Legend","Top",7,"86%","57%",21,22,77,4.5,"62.0%","13.3%","22.9%",,,,,7.2,,620,"21.0%",,254,"19.5%",,0.37,0.17,0.26
