"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"T1","Middle",13,"69%","15%",30,26,90,4.6,"61.2%","15.3%","17.9%","8%",-49,41,0.5,8.6,"24.8%",664,"25.3%","24.5%",268,"21.5%",0,0.4,0.17,0.22
"Aiming","Dplus KIA","ADC",14,"71%","50%",54,13,104,12.2,"73.5%","25.1%","9.6%","21%",-5,90,1.1,9.4,"30.8%",809,"30.5%","32.2%",312,"26.1%",0,0.45,0.12,0.31
"Andil","DRX","Support",13,"46%","38%",5,51,93,1.9,"63.6%","3.2%","26.3%","31%",-182,-54,0.6,1.1,"2.3%",182,"7.7%","6.9%",105,"9.2%",0,1.55,0.44,0.43
"Bdd","KT Rolster","Middle",13,"54%","46%",42,24,75,4.9,"69.6%","25.0%","12.8%","15%",-32,33,-2.2,8.8,"26.5%",620,"26.0%","25.9%",283,"24.2%",0,0.42,0.19,0.23
"Berserker","DN Freecs","ADC",13,"31%","46%",49,22,54,4.7,"73.6%","35.0%","13.2%","23%",108,19,2.8,9.5,"31.3%",646,"26.2%","27.6%",287,"26.7%",0,0.4,0.12,0.33
"BeryL","Dplus KIA","Support",14,"71%","50%",15,42,136,3.6,"70.2%","7.0%","30.9%","29%",10,137,-0.2,1.2,"2.6%",211,"7.9%","6.6%",125,"10.5%",0,1.61,0.52,0.47
"Bull","OKSavingsBank BRION","ADC",2,"0%","100%",6,3,13,6.3,"67.9%","21.4%","6.5%","0%",164,523,4,8.4,"28.1%",927,"30.3%","31.4%",245,"24.2%",0,0.53,0.21,0.27
"BuLLDoG","DN Freecs","Middle",11,"36%","55%",30,30,63,3.1,"70.5%","22.7%","22.4%","9%",124,62,2,8.4,"25.1%",730,"29.2%","28.6%",255,"23.5%",0,0.5,0.28,0.22
"Canyon","Gen.G","Jungle",11,"64%","36%",30,30,85,3.8,"69.3%","18.1%","20.4%","27%",-47,88,0.8,6.4,"18.2%",534,"17.9%","18.7%",229,"18.3%",0,0.47,0.35,0.36
"Chovy","Gen.G","Middle",11,"64%","82%",36,24,88,5.2,"74.7%","21.7%","16.3%","0%",-56,54,1.2,8.7,"26.4%",763,"26.3%","26.0%",294,"23.7%",0,0.41,0.18,0.38
"Clear","BNK FEARX","Top",11,"27%","27%",18,41,55,1.8,"55.7%","13.7%","20.7%","9%",41,69,2.2,7.3,"22.7%",510,"20.8%","20.5%",219,"20.7%",0,0.33,0.14,0.17
"Clozer","OKSavingsBank BRION","Middle",12,"33%","33%",41,27,79,4.4,"71.0%","24.3%","15.0%","25%",115,54,2.8,9,"27.3%",685,"27.1%","27.0%",280,"24.2%",0,0.39,0.17,0.22
"Cuzz","KT Rolster","Jungle",13,"54%","46%",37,39,79,3,"69.0%","22.0%","20.9%","31%",78,175,5.4,7.1,"20.0%",467,"18.8%","19.9%",239,"20.4%",3,0.33,0.3,0.4
"Delight","Hanwha Life Esports","Support",11,"64%","36%",13,29,105,4.1,"71.1%","7.8%","23.0%","36%",115,25,2.9,1.2,"2.5%",209,"8.0%","7.0%",130,"10.7%",0,1.72,0.48,0.31
"deokdam","KT Rolster","ADC",13,"54%","46%",46,40,65,2.8,"66.1%","27.4%","21.4%","31%",-222,-344,-7.8,8.8,"27.7%",623,"26.4%","27.0%",284,"24.3%",0,0.37,0.06,0.29
"Diable","BNK FEARX","ADC",11,"27%","55%",55,29,48,3.6,"78.6%","42.0%","14.6%","36%",251,250,4.3,9.5,"33.8%",715,"27.5%","28.0%",309,"28.5%",0,0.43,0.14,0.38
"Doran","T1","Top",13,"69%","31%",26,35,70,2.7,"49.0%","13.3%","24.1%","15%",46,149,4.1,8,"23.6%",517,"19.6%","18.9%",259,"20.9%",0,0.37,0.21,0.13
"DuDu","DN Freecs","Top",13,"31%","62%",33,32,56,2.8,"63.6%","23.6%","19.2%","15%",51,28,0.9,7.9,"24.7%",551,"21.8%","20.8%",238,"22.0%",0,0.34,0.16,0.18
"Duro","Gen.G","Support",11,"64%","55%",9,36,122,3.6,"78.9%","5.4%","24.5%","45%",81,53,-2.3,0.8,"1.6%",184,"6.3%","5.1%",125,"10.1%",0,1.64,0.51,0.37
"Fisher","Nongshim RedForce","Middle",9,"33%","56%",23,27,51,2.7,"66.7%","20.7%","19.4%","0%",-116,-117,-1.9,8.1,"25.4%",703,"27.7%","27.0%",257,"23.1%",0,0.48,0.27,0.23
"GIDEON","Nongshim RedForce","Jungle",9,"33%","22%",18,24,58,3.2,"68.5%","16.2%","17.3%","33%",-184,-179,-3,6.3,"19.0%",328,"12.8%","13.2%",208,"18.8%",0,0.4,0.38,0.41
"Gumayusi","T1","ADC",5,"60%","40%",25,12,26,4.3,"73.9%","36.2%","18.5%","60%",443,-12,7.2,9.7,"30.0%",615,"24.8%","24.3%",321,"26.4%",0,0.35,0.14,0.21
"HamBak","OKSavingsBank BRION","Jungle",12,"33%","58%",29,52,96,2.4,"74.0%","17.2%","28.9%","33%",143,12,-1.7,6,"16.1%",422,"15.9%","16.4%",204,"17.7%",0,0.39,0.3,0.35
"Hype","OKSavingsBank BRION","ADC",10,"40%","70%",45,16,65,6.9,"78.0%","31.9%","11.9%","50%",42,179,-0.4,9.2,"29.0%",754,"31.0%","32.2%",304,"25.7%",0,0.46,0.19,0.32
"Jiwoo","Nongshim RedForce","ADC",9,"33%","56%",32,25,47,3.2,"71.2%","28.8%","18.0%","44%",-320,1,-8.6,8.4,"27.9%",707,"28.1%","30.1%",279,"25.5%",0,0.43,0.18,0.27
"Kellin","BNK FEARX","Support",11,"27%","55%",7,41,90,2.4,"74.0%","5.3%","20.7%","18%",-94,-279,0.2,0.9,"2.3%",237,"9.1%","8.9%",103,"9.5%",0,1.82,0.56,0.33
